State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995
1,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-9.999999999999995,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-9.999999999999995,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995
2,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-9.999999999999995,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-9.999999999999995,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-1.4999999999999947,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995
3,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995,-9.999999999999995
4,-26.499999999999993,-21.499999999999993,-16.499999999999993,-21.499999999999993,-16.499999999999993,-11.499999999999995,-16.499999999999993,-11.499999999999995,-11.499999999999995,-21.499999999999993,-16.499999999999993,-11.499999999999995,-16.499999999999993,-11.499999999999995,-11.499999999999995,-11.499999999999995,-11.499999999999995,-16.499999999999993,-16.499999999999993,-11.499999999999995,-11.499999999999995,-11.499999999999995,-11.499999999999995,-16.499999999999993,-11.499999999999995,-16.499999999999993,-21.499999999999993
5,-27.499999999999993,-22.499999999999993,-17.499999999999993,-22.499999999999993,-17.499999999999993,-12.499999999999995,-17.499999999999993,-12.499999999999995,-10.499999999999995,-22.499999999999993,-17.499999999999993,-12.499999999999995,-17.499999999999993,-12.499999999999995,-10.499999999999995,-12.499999999999995,-10.499999999999995,-15.499999999999995,-17.499999999999993,-12.499999999999995,-10.499999999999995,-12.499999999999995,-10.499999999999995,-15.499999999999995,-10.499999999999995,-15.499999999999995,-20.499999999999993
6,-28.499999999999993,-23.499999999999993,-18.499999999999993,-23.499999999999993,-18.499999999999993,-13.499999999999995,-18.499999999999993,-13.499999999999995,-9.499999999999995,-23.499999999999993,-18.499999999999993,-13.499999999999995,-18.499999999999993,-13.499999999999995,-9.499999999999995,-13.499999999999995,-9.499999999999995,-14.499999999999995,-18.499999999999993,-13.499999999999995,-9.499999999999995,-13.499999999999995,-9.499999999999995,-14.499999999999995,-9.499999999999995,-14.499999999999995,-19.499999999999993
7,-29.499999999999993,-24.499999999999993,-19.499999999999993,-24.499999999999993,-19.499999999999993,-14.499999999999995,-19.499999999999993,-14.499999999999995,-9.499999999999995,-24.499999999999993,-19.499999999999993,-14.499999999999995,-19.499999999999993,-14.499999999999995,-9.499999999999995,-14.499999999999995,-9.499999999999995,-13.499999999999995,-19.499999999999993,-14.499999999999995,-9.499999999999995,-14.499999999999995,-9.499999999999995,-13.499999999999995,-9.499999999999995,-13.499999999999995,-18.499999999999993
8,-30.499999999999993,-25.499999999999993,-20.499999999999993,-25.499999999999993,-20.499999999999993,-15.499999999999995,-20.499999999999993,-15.499999999999995,-10.499999999999995,-25.499999999999993,-20.499999999999993,-15.499999999999995,-20.499999999999993,-15.499999999999995,-10.499999999999995,-15.499999999999995,-10.499999999999995,-12.499999999999995,-20.499999999999993,-15.499999999999995,-10.499999999999995,-15.499999999999995,-10.499999999999995,-12.499999999999995,-10.499999999999995,-12.499999999999995,-17.499999999999993
9,-31.499999999999993,-26.499999999999993,-21.499999999999993,-26.499999999999993,-21.499999999999993,-16.499999999999993,-21.499999999999993,-16.499999999999993,-11.499999999999995,-26.499999999999993,-21.499999999999993,-16.499999999999993,-21.499999999999993,-16.499999999999993,-11.499999999999995,-16.499999999999993,-11.499999999999995,-11.499999999999995,-21.499999999999993,-16.499999999999993,-11.499999999999995,-16.499999999999993,-11.499999999999995,-11.499999999999995,-11.499999999999995,-11.499999999999995,-16.499999999999993
10,-32.49999999999999,-27.499999999999993,-22.499999999999993,-27.499999999999993,-22.499999999999993,-17.499999999999993,-22.499999999999993,-17.499999999999993,-12.499999999999995,-27.499999999999993,-22.499999999999993,-17.499999999999993,-22.499999999999993,-17.499999999999993,-12.499999999999995,-17.499999999999993,-12.499999999999995,-10.499999999999995,-22.499999999999993,-17.499999999999993,-12.499999999999995,-17.499999999999993,-12.499999999999995,-10.499999999999995,-12.499999999999995,-10.499999999999995,-15.499999999999995
