State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,-13.999999999999996,-8.999999999999996,-4.999999999999997,-8.999999999999996,-4.999999999999997,-9.999999999999996,-4.999999999999997,-9.999999999999996,-14.999999999999996,-8.999999999999996,-4.999999999999997,-9.999999999999996,-4.999999999999997,-9.999999999999996,-14.999999999999996,-9.999999999999996,-14.999999999999996,-19.999999999999996,-4.999999999999997,-9.999999999999996,-14.999999999999996,-9.999999999999996,-14.999999999999996,-19.999999999999996,-14.999999999999996,-19.999999999999996,-24.999999999999996
1,-14.999999999999996,-9.999999999999996,-4.999999999999997,-9.999999999999996,-4.999999999999997,-8.999999999999996,-4.999999999999997,-8.999999999999996,-13.999999999999996,-9.999999999999996,-4.999999999999997,-8.999999999999996,-4.999999999999997,-8.999999999999996,-13.999999999999996,-8.999999999999996,-13.999999999999996,-18.999999999999996,-4.999999999999997,-8.999999999999996,-13.999999999999996,-8.999999999999996,-13.999999999999996,-18.999999999999996,-13.999999999999996,-18.999999999999996,-23.999999999999996
2,-15.999999999999996,-10.999999999999996,-5.999999999999997,-10.999999999999996,-5.999999999999997,-7.999999999999997,-5.999999999999997,-7.999999999999997,-12.999999999999996,-10.999999999999996,-5.999999999999997,-7.999999999999997,-5.999999999999997,-7.999999999999997,-12.999999999999996,-7.999999999999997,-12.999999999999996,-17.999999999999996,-5.999999999999997,-7.999999999999997,-12.999999999999996,-7.999999999999997,-12.999999999999996,-17.999999999999996,-12.999999999999996,-17.999999999999996,-22.999999999999996
3,-16.999999999999996,-11.999999999999996,-6.999999999999997,-11.999999999999996,-6.999999999999997,-6.999999999999997,-6.999999999999997,-6.999999999999997,-11.999999999999996,-11.999999999999996,-6.999999999999997,-6.999999999999997,-6.999999999999997,-6.999999999999997,-11.999999999999996,-6.999999999999997,-11.999999999999996,-16.999999999999996,-6.999999999999997,-6.999999999999997,-11.999999999999996,-6.999999999999997,-11.999999999999996,-16.999999999999996,-11.999999999999996,-16.999999999999996,-21.999999999999996
4,-17.999999999999996,-12.999999999999996,-7.999999999999997,-12.999999999999996,-7.999999999999997,-5.999999999999997,-7.999999999999997,-5.999999999999997,-10.999999999999996,-12.999999999999996,-7.999999999999997,-5.999999999999997,-7.999999999999997,-5.999999999999997,-10.999999999999996,-5.999999999999997,-10.999999999999996,-15.999999999999996,-7.999999999999997,-5.999999999999997,-10.999999999999996,-5.999999999999997,-10.999999999999996,-15.999999999999996,-10.999999999999996,-15.999999999999996,-20.999999999999996
5,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997
6,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997,-5.499999999999997
7,-20.999999999999996,-15.999999999999996,-10.999999999999996,-15.999999999999996,-10.999999999999996,-5.999999999999997,-10.999999999999996,-5.999999999999997,-7.999999999999997,-15.999999999999996,-10.999999999999996,-5.999999999999997,-10.999999999999996,-5.999999999999997,-7.999999999999997,-5.999999999999997,-7.999999999999997,-12.999999999999996,-10.999999999999996,-5.999999999999997,-7.999999999999997,-5.999999999999997,-7.999999999999997,-12.999999999999996,-7.999999999999997,-12.999999999999996,-17.999999999999996
8,-21.999999999999996,-16.999999999999996,-11.999999999999996,-16.999999999999996,-11.999999999999996,-6.999999999999997,-11.999999999999996,-6.999999999999997,-6.999999999999997,-16.999999999999996,-11.999999999999996,-6.999999999999997,-11.999999999999996,-6.999999999999997,-6.999999999999997,-6.999999999999997,-6.999999999999997,-11.999999999999996,-11.999999999999996,-6.999999999999997,-6.999999999999997,-6.999999999999997,-6.999999999999997,-11.999999999999996,-6.999999999999997,-11.999999999999996,-16.999999999999996
9,-22.999999999999996,-17.999999999999996,-12.999999999999996,-17.999999999999996,-12.999999999999996,-7.999999999999997,-12.999999999999996,-7.999999999999997,-5.999999999999997,-17.999999999999996,-12.999999999999996,-7.999999999999997,-12.999999999999996,-7.999999999999997,-5.999999999999997,-7.999999999999997,-5.999999999999997,-10.999999999999996,-12.999999999999996,-7.999999999999997,-5.999999999999997,-7.999999999999997,-5.999999999999997,-10.999999999999996,-5.999999999999997,-10.999999999999996,-15.999999999999996
10,-23.999999999999996,-18.999999999999996,-13.999999999999996,-18.999999999999996,-13.999999999999996,-8.999999999999996,-13.999999999999996,-8.999999999999996,-4.999999999999997,-18.999999999999996,-13.999999999999996,-8.999999999999996,-13.999999999999996,-8.999999999999996,-4.999999999999997,-8.999999999999996,-4.999999999999997,-9.999999999999996,-13.999999999999996,-8.999999999999996,-4.999999999999997,-8.999999999999996,-4.999999999999997,-9.999999999999996,-4.999999999999997,-9.999999999999996,-14.999999999999996
