State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,4.999999999999997,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973
1,5.499999999999997,5.749999999999997,5.499999999999997,5.749999999999997,5.499999999999997,5.249999999999997,5.499999999999997,5.249999999999997,4.999999999999997,5.749999999999997,5.499999999999997,5.249999999999997,5.499999999999997,5.249999999999997,4.999999999999997,5.249999999999997,4.999999999999997,3.4999999999999973,5.499999999999997,5.249999999999997,4.999999999999997,5.249999999999997,4.999999999999997,3.4999999999999973,4.999999999999997,3.4999999999999973,3.4999999999999973
2,3.4999999999999973,3.4999999999999973,4.999999999999997,3.4999999999999973,4.999999999999997,5.249999999999997,4.999999999999997,5.249999999999997,5.499999999999997,3.4999999999999973,4.999999999999997,5.249999999999997,4.999999999999997,5.249999999999997,5.499999999999997,5.249999999999997,5.499999999999997,5.749999999999997,4.999999999999997,5.249999999999997,5.499999999999997,5.249999999999997,5.499999999999997,5.749999999999997,5.499999999999997,5.749999999999997,5.499999999999997
3,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,3.4999999999999973,4.999999999999997
4,0.49999999999999734,0.9999999999999973,1.4999999999999973,0.9999999999999973,1.4999999999999973,1.9999999999999973,1.4999999999999973,1.9999999999999973,2.4999999999999973,0.9999999999999973,1.4999999999999973,1.9999999999999973,1.4999999999999973,1.9999999999999973,2.4999999999999973,1.9999999999999973,2.4999999999999973,2.9999999999999973,1.4999999999999973,1.9999999999999973,2.4999999999999973,1.9999999999999973,2.4999999999999973,2.9999999999999973,2.4999999999999973,2.9999999999999973,3.4999999999999973
5,-0.5000000000000027,-2.6645352591003757e-15,0.49999999999999734,-2.6645352591003757e-15,0.49999999999999734,0.9999999999999973,0.49999999999999734,0.9999999999999973,1.4999999999999973,-2.6645352591003757e-15,0.49999999999999734,0.9999999999999973,0.49999999999999734,0.9999999999999973,1.4999999999999973,0.9999999999999973,1.4999999999999973,1.9999999999999973,0.49999999999999734,0.9999999999999973,1.4999999999999973,0.9999999999999973,1.4999999999999973,1.9999999999999973,1.4999999999999973,1.9999999999999973,2.4999999999999973
6,-1.5000000000000027,-1.0000000000000027,-0.5000000000000027,-1.0000000000000027,-0.5000000000000027,-2.6645352591003757e-15,-0.5000000000000027,-2.6645352591003757e-15,0.49999999999999734,-1.0000000000000027,-0.5000000000000027,-2.6645352591003757e-15,-0.5000000000000027,-2.6645352591003757e-15,0.49999999999999734,-2.6645352591003757e-15,0.49999999999999734,0.9999999999999973,-0.5000000000000027,-2.6645352591003757e-15,0.49999999999999734,-2.6645352591003757e-15,0.49999999999999734,0.9999999999999973,0.49999999999999734,0.9999999999999973,1.4999999999999973
7,-2.5000000000000027,-2.0000000000000027,-1.5000000000000027,-2.0000000000000027,-1.5000000000000027,-1.0000000000000027,-1.5000000000000027,-1.0000000000000027,-0.5000000000000027,-2.0000000000000027,-1.5000000000000027,-1.0000000000000027,-1.5000000000000027,-1.0000000000000027,-0.5000000000000027,-1.0000000000000027,-0.5000000000000027,-2.6645352591003757e-15,-1.5000000000000027,-1.0000000000000027,-0.5000000000000027,-1.0000000000000027,-0.5000000000000027,-2.6645352591003757e-15,-0.5000000000000027,-2.6645352591003757e-15,0.49999999999999734
8,-3.5000000000000027,-3.0000000000000027,-2.5000000000000027,-3.0000000000000027,-2.5000000000000027,-2.0000000000000027,-2.5000000000000027,-2.0000000000000027,-1.5000000000000027,-3.0000000000000027,-2.5000000000000027,-2.0000000000000027,-2.5000000000000027,-2.0000000000000027,-1.5000000000000027,-2.0000000000000027,-1.5000000000000027,-1.0000000000000027,-2.5000000000000027,-2.0000000000000027,-1.5000000000000027,-2.0000000000000027,-1.5000000000000027,-1.0000000000000027,-1.5000000000000027,-1.0000000000000027,-0.5000000000000027
9,-4.500000000000003,-4.000000000000003,-3.5000000000000027,-4.000000000000003,-3.5000000000000027,-3.0000000000000027,-3.5000000000000027,-3.0000000000000027,-2.5000000000000027,-4.000000000000003,-3.5000000000000027,-3.0000000000000027,-3.5000000000000027,-3.0000000000000027,-2.5000000000000027,-3.0000000000000027,-2.5000000000000027,-2.0000000000000027,-3.5000000000000027,-3.0000000000000027,-2.5000000000000027,-3.0000000000000027,-2.5000000000000027,-2.0000000000000027,-2.5000000000000027,-2.0000000000000027,-1.5000000000000027
