State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,-34.99999999999996,-35.49999999999996,-35.99999999999996,-35.49999999999996,-35.99999999999996,-36.49999999999996,-35.99999999999996,-36.49999999999996,-36.99999999999996,-35.49999999999996,-35.99999999999996,-36.49999999999996,-35.99999999999996,-36.49999999999996,-36.99999999999996,-36.49999999999996,-36.99999999999996,-37.49999999999996,-35.99999999999996,-36.49999999999996,-36.99999999999996,-36.49999999999996,-36.99999999999996,-37.49999999999996,-36.99999999999996,-37.49999999999996,-37.99999999999996
1,-33.99999999999996,-34.49999999999996,-34.99999999999996,-34.49999999999996,-34.99999999999996,-35.49999999999996,-34.99999999999996,-35.49999999999996,-35.99999999999996,-34.49999999999996,-34.99999999999996,-35.49999999999996,-34.99999999999996,-35.49999999999996,-35.99999999999996,-35.49999999999996,-35.99999999999996,-36.49999999999996,-34.99999999999996,-35.49999999999996,-35.99999999999996,-35.49999999999996,-35.99999999999996,-36.49999999999996,-35.99999999999996,-36.49999999999996,-36.99999999999996
2,-32.99999999999996,-33.49999999999996,-33.99999999999996,-33.49999999999996,-33.99999999999996,-34.49999999999996,-33.99999999999996,-34.49999999999996,-34.99999999999996,-33.49999999999996,-33.99999999999996,-34.49999999999996,-33.99999999999996,-34.49999999999996,-34.99999999999996,-34.49999999999996,-34.99999999999996,-35.49999999999996,-33.99999999999996,-34.49999999999996,-34.99999999999996,-34.49999999999996,-34.99999999999996,-35.49999999999996,-34.99999999999996,-35.49999999999996,-35.99999999999996
3,-31.99999999999996,-32.49999999999996,-32.99999999999996,-32.49999999999996,-32.99999999999996,-33.49999999999996,-32.99999999999996,-33.49999999999996,-33.99999999999996,-32.49999999999996,-32.99999999999996,-33.49999999999996,-32.99999999999996,-33.49999999999996,-33.99999999999996,-33.49999999999996,-33.99999999999996,-34.49999999999996,-32.99999999999996,-33.49999999999996,-33.99999999999996,-33.49999999999996,-33.99999999999996,-34.49999999999996,-33.99999999999996,-34.49999999999996,-34.99999999999996
4,-28.74999999999996,-28.99999999999996,-32.49999999999996,-28.99999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-28.99999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996
5,-32.49999999999996,-28.99999999999996,-28.74999999999996,-28.99999999999996,-28.74999999999996,-28.49999999999996,-28.74999999999996,-28.49999999999996,-28.74999999999996,-28.99999999999996,-28.74999999999996,-28.49999999999996,-28.74999999999996,-28.49999999999996,-28.74999999999996,-28.49999999999996,-28.74999999999996,-28.99999999999996,-28.74999999999996,-28.49999999999996,-28.74999999999996,-28.49999999999996,-28.74999999999996,-28.99999999999996,-28.74999999999996,-28.99999999999996,-32.49999999999996
6,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-28.99999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-32.49999999999996,-28.99999999999996,-32.49999999999996,-28.99999999999996,-28.74999999999996
7,-34.99999999999996,-34.49999999999996,-33.99999999999996,-34.49999999999996,-33.99999999999996,-33.49999999999996,-33.99999999999996,-33.49999999999996,-32.99999999999996,-34.49999999999996,-33.99999999999996,-33.49999999999996,-33.99999999999996,-33.49999999999996,-32.99999999999996,-33.49999999999996,-32.99999999999996,-32.49999999999996,-33.99999999999996,-33.49999999999996,-32.99999999999996,-33.49999999999996,-32.99999999999996,-32.49999999999996,-32.99999999999996,-32.49999999999996,-31.99999999999996
8,-35.99999999999996,-35.49999999999996,-34.99999999999996,-35.49999999999996,-34.99999999999996,-34.49999999999996,-34.99999999999996,-34.49999999999996,-33.99999999999996,-35.49999999999996,-34.99999999999996,-34.49999999999996,-34.99999999999996,-34.49999999999996,-33.99999999999996,-34.49999999999996,-33.99999999999996,-33.49999999999996,-34.99999999999996,-34.49999999999996,-33.99999999999996,-34.49999999999996,-33.99999999999996,-33.49999999999996,-33.99999999999996,-33.49999999999996,-32.99999999999996
9,-36.99999999999996,-36.49999999999996,-35.99999999999996,-36.49999999999996,-35.99999999999996,-35.49999999999996,-35.99999999999996,-35.49999999999996,-34.99999999999996,-36.49999999999996,-35.99999999999996,-35.49999999999996,-35.99999999999996,-35.49999999999996,-34.99999999999996,-35.49999999999996,-34.99999999999996,-34.49999999999996,-35.99999999999996,-35.49999999999996,-34.99999999999996,-35.49999999999996,-34.99999999999996,-34.49999999999996,-34.99999999999996,-34.49999999999996,-33.99999999999996
