Index,Gaze Score,Gaze State,Robot Looks,Gaze Entropy
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,4,1,5,0.413816850303634
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,27,0.992774453987808
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,5,1,12,0.715322052803885
17,1,1,24,0.966985295832085
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,47,3,54,0.468995593589281
26,100,5,61,0
27,100,5,60,0
28,29,2,51,0.643639413146167
29,38,1,53,0.560576942614533
30,29,1,50,0.650022421648354
31,80,5,49,0.715322052803885
32,5,1,10,0.643639413146167
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,73,4,45,0.830189971418044
52,100,5,61,0
53,1,1,23,0.955931263789648
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,5,1,9,0.6098403047164
63,5,1,13,0.754034056197133
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
