State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,515.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
1,525.538804926773,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
2,535.3290271963158,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
3,545.1530239022565,520.7742856554303,509.7742856554302,520.7742856554303,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,520.7742856554303,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
4,555.0201801309239,530.7742856554302,509.7742856554302,530.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,530.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
5,564.9413442853833,540.7742856554302,515.7742856554302,540.7742856554302,515.7742856554302,509.7742856554302,515.7742856554302,509.7742856554302,509.7742856554302,540.7742856554302,515.7742856554302,509.7742856554302,515.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,515.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
6,574.9289850731998,550.7742856554302,525.7742856554302,550.7742856554302,525.7742856554302,509.7742856554302,525.7742856554302,509.7742856554302,509.7742856554302,550.7742856554302,525.7742856554302,509.7742856554302,525.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,525.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
7,584.9973538110075,560.7742856554302,535.7742856554302,560.7742856554302,535.7742856554302,509.7742856554302,535.7742856554302,509.7742856554302,509.7742856554302,560.7742856554302,535.7742856554302,509.7742856554302,535.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,535.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
8,585.1626493308596,570.7742856554302,545.7742856554302,570.7742856554302,545.7742856554302,520.7742856554303,545.7742856554302,520.7742856554303,509.7742856554302,570.7742856554302,545.7742856554302,520.7742856554303,545.7742856554302,520.7742856554303,509.7742856554302,520.7742856554303,509.7742856554302,509.7742856554302,545.7742856554302,520.7742856554303,509.7742856554302,520.7742856554303,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
9,575.7742856554302,580.7742856554302,555.7742856554302,580.7742856554302,555.7742856554302,530.7742856554302,555.7742856554302,530.7742856554302,509.7742856554302,580.7742856554302,555.7742856554302,530.7742856554302,555.7742856554302,530.7742856554302,509.7742856554302,530.7742856554302,509.7742856554302,509.7742856554302,555.7742856554302,530.7742856554302,509.7742856554302,530.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302,509.7742856554302
10,565.7742856554302,590.7742856554302,565.7742856554302,590.7742856554302,565.7742856554302,540.7742856554302,565.7742856554302,540.7742856554302,515.7742856554302,590.7742856554302,565.7742856554302,540.7742856554302,565.7742856554302,540.7742856554302,515.7742856554302,540.7742856554302,515.7742856554302,509.7742856554302,565.7742856554302,540.7742856554302,515.7742856554302,540.7742856554302,515.7742856554302,509.7742856554302,515.7742856554302,509.7742856554302,509.7742856554302
