State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,665.059999998597,645.6049999692847,628.5049999627836,645.6049999734878,628.504999986088,597.5539999345732,628.5049997174758,597.5539999492233,597.5539999701956,645.6049999084938,628.5049999465667,597.5539997509422,628.5049998883211,597.5539999773225,597.5539999511601,597.553999979488,597.5539999760389,597.5539999904225,628.5049991263948,597.5539999746733,597.5539999329969,597.5539999702835,597.5539999865767,597.5539999006651,597.5539999378019,597.5539999196196,597.5539999905812
1,699.4499999986464,659.0599946705712,645.604983699597,659.0599956755327,645.6049899715322,628.5049959247825,645.6049983325681,628.5049825125634,597.5539991057238,659.0599854235289,645.604984500088,628.5049975909676,645.6048770973684,628.5049788196931,597.5539970438404,628.5049716986163,597.5539837240597,597.5539986787594,645.6049601454375,628.5046575120767,597.5539320237763,628.504996746881,597.5539624448994,597.5539936991391,597.5539576373488,597.5539560559812,597.5539851885665
2,718.4499999987049,683.4499976026277,659.0599996920956,683.4499997917404,659.0599910849177,645.6049973669409,659.059999851973,645.6049977011768,628.5049983547412,683.4499998412685,659.0599979526899,645.6049994821012,659.059999778183,645.604995485807,628.504991507335,645.6049985531147,628.5049992381304,597.5539983311073,659.0599987183975,645.6049993097035,628.5049978598869,645.6049970915374,628.5049994200103,597.5539845519113,628.5049992691329,597.553996313058,597.5539988658468
3,733.3999999987949,703.4499999869611,683.4499999835019,703.4499999432077,683.4499999656789,659.0599999671587,683.449999986965,659.0599999887718,645.6049997455543,703.4499999679509,683.4499999898376,659.0599999900899,683.4499999877168,659.0599999593666,645.6049999074696,659.0599999680487,645.6049999590907,628.5049999155126,683.4499999864216,659.0599999422875,645.6049999736857,659.0599998805869,645.6049999681586,628.5049999757457,645.6049999835792,628.5049999311158,597.553999983589
4,760.4999999989183,718.3999999751278,692.449999987806,718.399999961809,692.4499999623574,683.4499999797057,692.449999986168,683.4499999850678,659.0599999592877,718.3999999948209,692.4499999922558,683.4499999902598,692.4499999821884,683.4499999136215,659.0599999939192,683.449999973163,659.0599999817085,645.6049999805449,692.4499999904441,683.4499999810415,659.0599999826163,683.4499999656801,659.0599999830292,645.604999952756,659.0599999795098,645.6049999678023,628.5049999795314
5,770.499999998909,745.4999999876391,703.399999993442,745.4999999966922,703.3999999944793,692.4499999930778,703.3999999907055,692.4499999922406,683.4499999852378,745.4999999954439,703.3999999880989,692.4499999880821,703.3999999893981,692.4499999936311,683.4499999961562,692.4499999607474,683.4499999467,659.0599999803171,703.3999999741727,692.4499999841989,683.4499999359521,692.4499999955328,683.4499999883889,659.0599999839344,683.4499999962546,659.0599999791712,645.6049999906735
6,775.9999999989648,755.4999999974222,730.4999999963135,755.4999999840148,730.4999999971462,697.3999999946924,730.4999999965224,697.3999999963677,692.4499999800075,755.499999991743,730.4999999953028,697.3999999939384,730.499999993111,697.3999999853753,692.4499999972767,697.3999999918683,692.4499999889564,683.4499999909825,730.4999999895286,697.3999999921634,692.4499999952656,697.3999999938402,692.4499999940076,683.4499999970535,692.4499999955846,683.4499999847666,659.0599999938918
7,794.9999999990837,760.9999999974071,740.4999999960926,760.999999996611,740.4999999980329,714.4999999941323,740.4999999979825,714.4999999957797,697.3999999976593,760.9999999950747,740.499999993499,714.4999999881071,740.4999999969061,714.4999999945569,697.3999999933759,714.4999999959217,697.3999999926771,692.4499999961917,740.4999999970304,714.499999993438,697.3999999958069,714.4999999968674,697.3999999950149,692.4499999969655,697.3999999949555,692.4499999916413,683.4499999947302
8,794.9999999991003,779.9999999977465,745.9999999946723,779.9999999975062,745.9999999969904,725.4999999950244,745.9999999935317,725.4999999947997,714.4999999965175,779.999999994678,745.9999999980521,725.4999999964167,745.999999995359,725.4999999963211,714.49999999715,725.4999999962214,714.4999999972468,697.3999999982631,745.9999999946793,725.4999999932988,714.4999999842826,725.4999999972015,714.499999997645,697.3999999958027,714.4999999946633,697.3999999961993,692.4499999960839
9,784.9999999944455,789.9999999962092,764.9999999967033,789.9999999966589,764.9999999964872,730.9999999947705,764.9999999973764,730.999999995616,714.4999999953778,789.9999999990208,764.9999999970659,730.9999999970836,764.9999999964198,730.999999996123,714.4999999965785,730.999999997362,714.4999999954802,714.4999999950975,764.9999999978917,730.9999999946743,714.4999999938742,730.9999999965281,714.4999999951544,714.4999999973215,714.4999999948809,714.4999999965469,697.3999999954736
10,774.9999999987369,799.9999999991377,774.9999999988777,799.9999999988862,774.9999999985446,749.9999999988364,774.9999999986152,749.9999999985296,715.9999999984461,799.9999999989134,774.9999999989086,749.9999999986262,774.9999999987641,749.999999998689,715.9999999987492,749.9999999988353,715.9999999986626,714.4999999987398,774.9999999987878,749.9999999988428,715.9999999986417,749.9999999987971,715.9999999986724,714.4999999987137,715.9999999984747,714.4999999986964,714.4999999987892
