State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,49.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
1,59.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
2,69.99999999999997,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
3,79.99999999999997,54.99999999999998,43.99999999999998,54.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,54.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
4,89.99999999999997,64.99999999999997,43.99999999999998,64.99999999999997,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,64.99999999999997,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
5,99.99999999999997,74.99999999999997,49.99999999999998,74.99999999999997,49.99999999999998,43.99999999999998,49.99999999999998,43.99999999999998,43.99999999999998,74.99999999999997,49.99999999999998,43.99999999999998,49.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,49.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
6,109.99999999999997,84.99999999999997,59.99999999999998,84.99999999999997,59.99999999999998,43.99999999999998,59.99999999999998,43.99999999999998,43.99999999999998,84.99999999999997,59.99999999999998,43.99999999999998,59.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,59.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
7,119.99999999999997,94.99999999999997,69.99999999999997,94.99999999999997,69.99999999999997,43.99999999999998,69.99999999999997,43.99999999999998,43.99999999999998,94.99999999999997,69.99999999999997,43.99999999999998,69.99999999999997,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,69.99999999999997,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
8,119.99999999999997,104.99999999999997,79.99999999999997,104.99999999999997,79.99999999999997,54.99999999999998,79.99999999999997,54.99999999999998,43.99999999999998,104.99999999999997,79.99999999999997,54.99999999999998,79.99999999999997,54.99999999999998,43.99999999999998,54.99999999999998,43.99999999999998,43.99999999999998,79.99999999999997,54.99999999999998,43.99999999999998,54.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
9,109.99999999999997,114.99999999999997,89.99999999999997,114.99999999999997,89.99999999999997,64.99999999999997,89.99999999999997,64.99999999999997,43.99999999999998,114.99999999999997,89.99999999999997,64.99999999999997,89.99999999999997,64.99999999999997,43.99999999999998,64.99999999999997,43.99999999999998,43.99999999999998,89.99999999999997,64.99999999999997,43.99999999999998,64.99999999999997,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998,43.99999999999998
