State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,665.0599999941637,645.6049999163957,628.5049999793804,645.6049999501478,628.5049999669382,597.5539999859933,628.5049999641933,597.5539999290468,597.5539998841988,645.6049999670462,628.504999969388,597.5539999451579,628.5049999752157,597.5539997313339,597.553999974589,597.5539998981454,597.5539999476642,597.5539998637806,628.504999956877,597.5539998885205,597.5539998807736,597.5539998628273,597.5539999619887,597.5539999694264,597.5539999548765,597.5539999641471,597.5539999769929
1,699.4499999937782,659.0599879576499,645.6049963135389,659.0596954620681,645.6049994254231,628.5049992515719,645.6049985724125,628.5049994733944,597.5539982545023,659.059991291218,645.6049996740627,628.5049959395752,645.6049981964286,628.5049995813833,597.5539929192223,628.5049997099161,597.5539958824977,597.5539977793635,645.6049906940951,628.5049989303975,597.5539974484923,628.5049974386517,597.5539962684059,597.5539962920132,597.5539976568173,597.5539916579797,597.5539976614149
2,718.4499999946872,683.4499995047237,659.0599988534501,683.4499999401238,659.0599995823596,645.6049996914293,659.0599965740178,645.6049997717705,628.5049944519379,683.4499998748586,659.0599988938695,645.6049995914885,659.0599991553182,645.6049998471544,628.504999424793,645.6049978128302,628.5049985778571,597.5539997639897,659.0599999252377,645.6049988763921,628.5049997739802,645.6049998400478,628.504998623212,597.5539998947963,628.5049996749035,597.5539998140216,597.5539979746721
3,733.3999999949128,703.4499999513408,683.4499999552414,703.4499999312667,683.4499999557682,659.0599998822661,683.449999979082,659.0599999570743,645.6049999568103,703.4499999646061,683.4499999774773,659.059999907894,683.4499999755027,659.0599999413604,645.6049999716381,659.0599999733013,645.6049999693049,628.504999971978,683.4499999710886,659.059999901919,645.6049999454962,659.0599999114633,645.6049999564707,628.5049997253399,645.6049999191134,628.5049999584387,597.5539998801501
4,760.4999999950745,718.39999996168,692.4499999801163,718.3999999675663,692.4499999502536,683.4499999722115,692.4499999707261,683.449999978461,659.0599999312833,718.3999999880518,692.4499999506759,683.4499999810702,692.4499999871092,683.4499999171223,659.0599999609243,683.4499999613971,659.0599999720229,645.6049999820245,692.4499999789106,683.4499999761301,659.0599999887887,683.4499999818256,659.059999973189,645.6049999576815,659.0599999727011,645.6049999761489,628.5049999664258
5,770.4999999954784,745.499999968679,703.3999999844525,745.4999999807745,703.399999969967,692.4499999582478,703.39999995053,692.4499999533917,683.4499999849953,745.4999999791339,703.3999999866888,692.4499999728876,703.3999999803657,692.4499999732907,683.4499999779111,692.4499999740001,683.449999976572,659.0599999677969,703.3999999786778,692.4499999574696,683.4499999873325,692.4499999747926,683.4499999858626,659.0599999871595,683.4499999819135,659.0599999728361,645.6049999588914
6,775.9999999957131,755.4999999782187,730.4999999863869,755.4999999837178,730.4999999802566,697.3999999822779,730.4999999818513,697.3999999814059,692.4499999851158,755.4999999782415,730.4999999748395,697.3999999779157,730.4999999848588,697.3999999862584,692.4499999638322,697.3999999836386,692.4499999863457,683.4499999797966,730.4999999547651,697.399999991695,692.4499999886125,697.3999999858135,692.4499999898202,683.449999985508,692.4499999875371,683.4499999847471,659.0599999806302
7,794.9999999954262,760.9999999801393,740.4999999914603,760.9999999790898,740.4999999778076,714.4999999853688,740.4999999806573,714.4999999840535,697.3999999892741,760.9999999798717,740.4999999679841,714.4999999746601,740.4999999907169,714.4999999826766,697.3999999853083,714.4999999889458,697.3999999787393,692.449999979405,740.4999999909581,714.4999999881494,697.3999999859677,714.4999999875937,697.399999985133,692.4499999884946,697.3999999824476,692.4499999905473,683.4499999874289
8,794.9999999960086,779.9999999901703,745.9999999923693,779.9999999890642,745.9999999889187,725.4999999882152,745.9999999885746,725.4999999833445,714.4999999897909,779.9999999882423,745.9999999861383,725.499999993331,745.9999999861395,725.4999999893948,714.4999999834282,725.4999999812109,714.4999999828401,697.3999999875887,745.9999999874588,725.4999999895166,714.4999999864962,725.4999999873124,714.4999999918537,697.3999999893206,714.4999999912945,697.3999999856076,692.4499999824652
9,784.9999999891645,789.9999999961535,764.9999999893987,789.999999989627,764.9999999866445,730.9999999867318,764.9999999914677,730.999999987504,714.4999999928905,789.9999999719024,764.9999999876432,730.9999999822705,764.9999999883139,730.9999999831526,714.4999999896153,730.9999999807933,714.4999999883894,714.4999999686254,764.9999999929514,730.9999999826396,714.4999999885591,730.999999981195,714.4999999867103,714.4999999897057,714.4999999895449,714.4999999875726,697.3999999897226
