State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,-69.99999999999991,-70.49999999999991,-70.99999999999991,-70.49999999999991,-70.99999999999991,-71.49999999999991,-70.99999999999991,-71.49999999999991,-71.99999999999991,-70.49999999999991,-70.99999999999991,-71.49999999999991,-70.99999999999991,-71.49999999999991,-71.99999999999991,-71.49999999999991,-71.99999999999991,-72.49999999999991,-70.99999999999991,-71.49999999999991,-71.99999999999991,-71.49999999999991,-71.99999999999991,-72.49999999999991,-71.99999999999991,-72.49999999999991,-72.99999999999991
1,-68.99999999999991,-69.49999999999991,-69.99999999999991,-69.49999999999991,-69.99999999999991,-70.49999999999991,-69.99999999999991,-70.49999999999991,-70.99999999999991,-69.49999999999991,-69.99999999999991,-70.49999999999991,-69.99999999999991,-70.49999999999991,-70.99999999999991,-70.49999999999991,-70.99999999999991,-71.49999999999991,-69.99999999999991,-70.49999999999991,-70.99999999999991,-70.49999999999991,-70.99999999999991,-71.49999999999991,-70.99999999999991,-71.49999999999991,-71.99999999999991
2,-67.99999999999991,-68.49999999999991,-68.99999999999991,-68.49999999999991,-68.99999999999991,-69.49999999999991,-68.99999999999991,-69.49999999999991,-69.99999999999991,-68.49999999999991,-68.99999999999991,-69.49999999999991,-68.99999999999991,-69.49999999999991,-69.99999999999991,-69.49999999999991,-69.99999999999991,-70.49999999999991,-68.99999999999991,-69.49999999999991,-69.99999999999991,-69.49999999999991,-69.99999999999991,-70.49999999999991,-69.99999999999991,-70.49999999999991,-70.99999999999991
3,-66.99999999999991,-67.49999999999991,-67.99999999999991,-67.49999999999991,-67.99999999999991,-68.49999999999991,-67.99999999999991,-68.49999999999991,-68.99999999999991,-67.49999999999991,-67.99999999999991,-68.49999999999991,-67.99999999999991,-68.49999999999991,-68.99999999999991,-68.49999999999991,-68.99999999999991,-69.49999999999991,-67.99999999999991,-68.49999999999991,-68.99999999999991,-68.49999999999991,-68.99999999999991,-69.49999999999991,-68.99999999999991,-69.49999999999991,-69.99999999999991
4,-65.99999999999991,-66.49999999999991,-66.99999999999991,-66.49999999999991,-66.99999999999991,-67.49999999999991,-66.99999999999991,-67.49999999999991,-67.99999999999991,-66.49999999999991,-66.99999999999991,-67.49999999999991,-66.99999999999991,-67.49999999999991,-67.99999999999991,-67.49999999999991,-67.99999999999991,-68.49999999999991,-66.99999999999991,-67.49999999999991,-67.99999999999991,-67.49999999999991,-67.99999999999991,-68.49999999999991,-67.99999999999991,-68.49999999999991,-68.99999999999991
5,-64.99999999999991,-65.49999999999991,-65.99999999999991,-65.49999999999991,-65.99999999999991,-66.49999999999991,-65.99999999999991,-66.49999999999991,-66.99999999999991,-65.49999999999991,-65.99999999999991,-66.49999999999991,-65.99999999999991,-66.49999999999991,-66.99999999999991,-66.49999999999991,-66.99999999999991,-67.49999999999991,-65.99999999999991,-66.49999999999991,-66.99999999999991,-66.49999999999991,-66.99999999999991,-67.49999999999991,-66.99999999999991,-67.49999999999991,-67.99999999999991
6,-63.99999999999992,-64.49999999999991,-64.99999999999991,-64.49999999999991,-64.99999999999991,-65.49999999999991,-64.99999999999991,-65.49999999999991,-65.99999999999991,-64.49999999999991,-64.99999999999991,-65.49999999999991,-64.99999999999991,-65.49999999999991,-65.99999999999991,-65.49999999999991,-65.99999999999991,-66.49999999999991,-64.99999999999991,-65.49999999999991,-65.99999999999991,-65.49999999999991,-65.99999999999991,-66.49999999999991,-65.99999999999991,-66.49999999999991,-66.99999999999991
7,-58.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992
8,-58.49999999999992,-58.24999999999992,-58.49999999999992,-58.24999999999992,-58.49999999999992,-58.74999999999992,-58.49999999999992,-58.74999999999992,-58.99999999999992,-58.24999999999992,-58.49999999999992,-58.74999999999992,-58.49999999999992,-58.74999999999992,-58.99999999999992,-58.74999999999992,-58.99999999999992,-63.99999999999992,-58.49999999999992,-58.74999999999992,-58.99999999999992,-58.74999999999992,-58.99999999999992,-63.99999999999992,-58.99999999999992,-63.99999999999992,-63.99999999999992
9,-63.99999999999992,-63.99999999999992,-58.99999999999992,-63.99999999999992,-58.99999999999992,-58.74999999999992,-58.99999999999992,-58.74999999999992,-58.49999999999992,-63.99999999999992,-58.99999999999992,-58.74999999999992,-58.99999999999992,-58.74999999999992,-58.49999999999992,-58.74999999999992,-58.49999999999992,-58.24999999999992,-58.99999999999992,-58.74999999999992,-58.49999999999992,-58.74999999999992,-58.49999999999992,-58.24999999999992,-58.49999999999992,-58.24999999999992,-58.49999999999992
10,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-63.99999999999992,-58.99999999999992
