State,"Increase L, Increase M, Increase V","Increase L, Increase M, Keep V","Increase L, Increase M, Decrease V","Increase L, Keep M, Increase V","Increase L, Keep M, Keep V","Increase L, Keep M, Decrease V","Increase L, Decrease M, Increase V","Increase L, Decrease M, Keep V","Increase L, Decrease M, Decrease V","Keep L, Increase M, Increase V","Keep L, Increase M, Keep V","Keep L, Increase M, Decrease V","Keep L, Keep M, Increase V","Keep L, Keep M, Keep V","Keep L, Keep M, Decrease V","Keep L, Decrease M, Increase V","Keep L, Decrease M, Keep V","Keep L, Decrease M, Decrease V","Decrease L, Increase M, Increase V","Decrease L, Increase M, Keep V","Decrease L, Increase M, Decrease V","Decrease L, Keep M, Increase V","Decrease L, Keep M, Keep V","Decrease L, Keep M, Decrease V","Decrease L, Decrease M, Increase V","Decrease L, Decrease M, Keep V","Decrease L, Decrease M, Decrease V"
0,-13.99999999999995,-8.99999999999995,-4.999999999999954,-8.99999999999995,-4.999999999999954,-9.99999999999995,-4.999999999999954,-9.99999999999995,-14.99999999999995,-8.99999999999995,-4.999999999999954,-9.99999999999995,-4.999999999999954,-9.99999999999995,-14.99999999999995,-9.99999999999995,-14.99999999999995,-19.999999999999943,-4.999999999999954,-9.99999999999995,-14.99999999999995,-9.99999999999995,-14.99999999999995,-19.999999999999943,-14.99999999999995,-19.999999999999943,-24.999999999999943
1,-14.99999999999995,-9.99999999999995,-4.999999999999954,-9.99999999999995,-4.999999999999954,-8.99999999999995,-4.999999999999954,-8.99999999999995,-13.99999999999995,-9.99999999999995,-4.999999999999954,-8.99999999999995,-4.999999999999954,-8.99999999999995,-13.99999999999995,-8.99999999999995,-13.99999999999995,-18.999999999999943,-4.999999999999954,-8.99999999999995,-13.99999999999995,-8.99999999999995,-13.99999999999995,-18.999999999999943,-13.99999999999995,-18.999999999999943,-23.999999999999943
2,-15.99999999999995,-10.99999999999995,-5.999999999999954,-10.99999999999995,-5.999999999999954,-7.999999999999954,-5.999999999999954,-7.999999999999954,-12.99999999999995,-10.99999999999995,-5.999999999999954,-7.999999999999954,-5.999999999999954,-7.999999999999954,-12.99999999999995,-7.999999999999954,-12.99999999999995,-17.999999999999943,-5.999999999999954,-7.999999999999954,-12.99999999999995,-7.999999999999954,-12.99999999999995,-17.999999999999943,-12.99999999999995,-17.999999999999943,-22.999999999999943
3,-16.999999999999943,-11.99999999999995,-6.999999999999954,-11.99999999999995,-6.999999999999954,-6.999999999999954,-6.999999999999954,-6.999999999999954,-11.99999999999995,-11.99999999999995,-6.999999999999954,-6.999999999999954,-6.999999999999954,-6.999999999999954,-11.99999999999995,-6.999999999999954,-11.99999999999995,-16.999999999999943,-6.999999999999954,-6.999999999999954,-11.99999999999995,-6.999999999999954,-11.99999999999995,-16.999999999999943,-11.99999999999995,-16.999999999999943,-21.999999999999943
4,-17.999999999999943,-12.99999999999995,-7.999999999999954,-12.99999999999995,-7.999999999999954,-5.999999999999954,-7.999999999999954,-5.999999999999954,-10.99999999999995,-12.99999999999995,-7.999999999999954,-5.999999999999954,-7.999999999999954,-5.999999999999954,-10.99999999999995,-5.999999999999954,-10.99999999999995,-15.99999999999995,-7.999999999999954,-5.999999999999954,-10.99999999999995,-5.999999999999954,-10.99999999999995,-15.99999999999995,-10.99999999999995,-15.99999999999995,-20.999999999999943
5,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954
6,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954,-5.499999999999954
7,-20.999999999999943,-15.99999999999995,-10.99999999999995,-15.99999999999995,-10.99999999999995,-5.999999999999954,-10.99999999999995,-5.999999999999954,-7.999999999999954,-15.99999999999995,-10.99999999999995,-5.999999999999954,-10.99999999999995,-5.999999999999954,-7.999999999999954,-5.999999999999954,-7.999999999999954,-12.99999999999995,-10.99999999999995,-5.999999999999954,-7.999999999999954,-5.999999999999954,-7.999999999999954,-12.99999999999995,-7.999999999999954,-12.99999999999995,-17.999999999999943
8,-21.999999999999943,-16.999999999999943,-11.99999999999995,-16.999999999999943,-11.99999999999995,-6.999999999999954,-11.99999999999995,-6.999999999999954,-6.999999999999954,-16.999999999999943,-11.99999999999995,-6.999999999999954,-11.99999999999995,-6.999999999999954,-6.999999999999954,-6.999999999999954,-6.999999999999954,-11.99999999999995,-11.99999999999995,-6.999999999999954,-6.999999999999954,-6.999999999999954,-6.999999999999954,-11.99999999999995,-6.999999999999954,-11.99999999999995,-16.999999999999943
9,-22.999999999999943,-17.999999999999943,-12.99999999999995,-17.999999999999943,-12.99999999999995,-7.999999999999954,-12.99999999999995,-7.999999999999954,-5.999999999999954,-17.999999999999943,-12.99999999999995,-7.999999999999954,-12.99999999999995,-7.999999999999954,-5.999999999999954,-7.999999999999954,-5.999999999999954,-10.99999999999995,-12.99999999999995,-7.999999999999954,-5.999999999999954,-7.999999999999954,-5.999999999999954,-10.99999999999995,-5.999999999999954,-10.99999999999995,-15.99999999999995
